City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Likhoslavl,RU,57.13,35.46,43.25,90,1,9.98,clear sky
128,Lagoa,PT,39.05,-27.98,61.36,72,0,20.18,clear sky
129,Vao,NC,-22.67,167.48,73.35,75,68,11.1,broken clouds
130,Lucapa,AO,-8.42,20.74,68.02,97,100,4.14,overcast clouds
131,Comarapa,BO,-17.9,-64.48,79.38,32,0,12.06,clear sky
132,Mahebourg,MU,-20.41,57.7,73.4,78,20,8.05,few clouds
133,Ribeira Grande,PT,38.52,-28.7,60.8,72,20,9.17,few clouds
134,Bad Aussee,AT,47.61,13.78,39.99,100,90,2.24,fog
135,Lakes Entrance,AU,-37.88,147.98,46.99,94,0,5.55,clear sky
136,Kormilovka,RU,55.0,74.1,75.81,48,40,8.95,scattered clouds
137,Tasiilaq,GL,65.61,-37.64,28.4,86,75,6.93,broken clouds
138,Osa,RU,57.28,55.46,34.32,88,100,7.83,overcast clouds
139,Saskylakh,RU,71.92,114.08,-8.91,89,5,6.96,clear sky
140,Shenjiamen,CN,29.96,122.3,64.76,64,88,11.74,overcast clouds
141,Carnarvon,AU,-24.87,113.63,69.8,77,90,14.99,overcast clouds
142,Sitangkai,PH,4.66,119.39,82.02,77,86,10.54,overcast clouds
143,Ozernovskiy,RU,51.5,156.52,35.01,80,91,1.03,overcast clouds
144,Castro,BR,-24.79,-50.01,77.79,42,0,4.65,clear sky
145,Victoria,HK,22.29,114.16,78.01,57,0,1.99,clear sky
146,Kiama,AU,-34.68,150.87,55.0,82,71,7.9,broken clouds
147,Cockburn Town,TC,21.46,-71.14,78.8,78,90,11.41,overcast clouds
148,Kavieng,PG,-2.57,150.8,82.44,70,25,7.74,scattered clouds
149,Vila Do Maio,CV,15.13,-23.22,80.6,69,0,12.75,clear sky
150,Naron,ES,43.52,-8.15,62.01,87,20,5.82,few clouds
151,Oranjestad,AW,12.52,-70.03,86.0,74,40,11.41,scattered clouds
152,Buchanan,LR,5.88,-10.05,80.6,88,20,6.46,few clouds
153,Andenes,NO,69.31,16.12,39.2,60,100,33.33,overcast clouds
154,Avera,US,33.19,-82.53,80.6,54,75,12.75,broken clouds
155,East London,ZA,-33.02,27.91,69.8,82,0,13.4,clear sky
156,Lavrentiya,RU,65.58,-171.0,28.54,96,68,11.03,broken clouds
157,Kenai,US,60.55,-151.26,25.0,79,90,11.41,overcast clouds
158,Saint George,US,37.1,-113.58,57.99,30,75,20.8,broken clouds
159,Bredasdorp,ZA,-34.53,20.04,60.8,72,0,9.17,clear sky
160,Rocha,UY,-34.48,-54.33,68.54,71,36,10.45,scattered clouds
161,Svobodnyy,RU,51.4,128.13,21.16,97,100,10.98,overcast clouds
162,Clyde,US,41.3,-82.98,72.0,40,1,12.75,clear sky
163,Lorengau,PG,-2.02,147.27,81.19,72,25,8.43,scattered clouds
164,Saint-Georges,GD,12.06,-61.75,84.2,79,40,20.8,scattered clouds
165,Auki,SB,-8.77,160.7,79.3,81,6,4.07,clear sky
166,Vila Velha,BR,-20.33,-40.29,79.0,78,75,10.29,broken clouds
167,Beisfjord,NO,68.38,17.6,33.8,86,75,18.34,shower rain
168,Lubao,PH,14.92,120.55,77.0,94,90,6.93,moderate rain
169,Tiksi,RU,71.69,128.87,-8.07,91,0,1.97,clear sky
170,Homer,US,59.64,-151.55,35.01,85,90,5.82,overcast clouds
171,Pangnirtung,CA,66.15,-65.71,10.4,92,90,11.41,light snow
172,Namatanai,PG,-3.67,152.43,79.72,76,76,5.1,broken clouds
173,Ponta Delgada,PT,37.73,-25.67,60.8,63,20,10.29,few clouds
174,Biaora,IN,23.87,76.92,63.84,34,0,3.78,clear sky
175,Zhigansk,RU,66.77,123.37,-16.1,88,65,5.23,broken clouds
176,Oyem,GA,1.6,11.58,69.69,97,100,2.86,moderate rain
177,Zalesovo,RU,53.99,84.74,35.55,87,98,7.9,overcast clouds
178,Souillac,MU,-20.52,57.52,73.4,78,20,8.05,few clouds
179,Weligama,LK,5.97,80.42,77.58,86,0,3.91,clear sky
180,Uspenskaya,RU,45.76,41.07,47.98,91,99,24.61,overcast clouds
181,Nyaunglebin,MM,17.95,96.73,73.36,92,0,3.36,light rain
182,Pulsano,IT,40.38,17.36,61.0,82,0,9.17,clear sky
183,Ballina,AU,-28.87,153.57,62.6,88,90,4.7,light rain
184,Port Hedland,AU,-20.32,118.57,75.2,88,0,9.17,clear sky
185,Poum,NC,-20.23,164.02,76.53,73,2,13.33,clear sky
186,Ust-Kut,RU,56.79,105.77,18.16,94,100,5.08,light snow
187,Rafraf,TN,37.19,10.18,66.2,82,20,5.82,few clouds
188,Terenos,BR,-20.44,-54.86,96.8,26,0,4.7,clear sky
189,Prince Rupert,CA,54.32,-130.32,39.2,74,1,8.05,clear sky
190,Adrar,MR,20.5,-10.07,87.01,17,97,10.38,overcast clouds
191,Chapais,CA,49.78,-74.85,32.0,97,90,8.05,overcast clouds
192,Gilgit,PK,35.92,74.31,49.98,34,0,2.8,clear sky
193,Sosnovo-Ozerskoye,RU,52.52,111.54,7.2,93,48,7.29,scattered clouds
194,Furmanov,RU,57.25,41.11,44.6,70,0,15.66,clear sky
195,Dunedin,NZ,-45.87,170.5,50.0,60,93,18.01,overcast clouds
196,Cabedelo,BR,-6.98,-34.83,82.4,74,40,18.34,scattered clouds
197,Walvis Bay,NA,-22.96,14.51,62.6,77,0,8.05,clear sky
198,Chokurdakh,RU,70.63,147.92,2.52,95,100,6.13,light snow
199,Muzambinho,BR,-21.38,-46.53,82.4,34,40,4.83,scattered clouds
200,Yatou,CN,37.15,122.38,47.39,54,0,17.25,clear sky
201,Abha,SA,18.22,42.51,62.6,77,0,2.3,clear sky
202,Bestobe,KZ,52.5,73.1,47.25,49,100,18.92,overcast clouds
203,Pokrovsk,UA,48.28,37.18,46.15,77,59,8.01,broken clouds
204,Xuanwu,CN,32.07,118.81,59.0,100,0,2.24,clear sky
205,Hammerfest,NO,70.66,23.68,35.6,80,100,43.62,light rain
206,Torbay,CA,47.67,-52.73,50.0,81,75,27.51,broken clouds
207,Havoysund,NO,71.0,24.66,35.6,80,100,43.62,light rain
208,Iztapa,GT,13.93,-90.71,84.2,79,75,13.87,broken clouds
209,Gernsbach,DE,48.77,8.33,45.0,93,99,1.12,fog
210,Saint-Francois,FR,46.42,3.91,60.8,59,0,5.82,clear sky
211,Polis,CY,35.04,32.43,66.2,48,20,6.93,few clouds
212,Panjab,AF,34.39,67.02,27.97,80,0,1.41,clear sky
213,Hamilton,US,39.18,-84.53,73.99,35,1,5.82,clear sky
214,Muros,ES,42.78,-9.06,61.0,90,24,11.99,few clouds
215,Sparbu,NO,63.92,11.44,45.0,87,75,4.7,light intensity drizzle
216,Frontera,MX,26.93,-101.45,81.0,47,5,4.7,clear sky
217,Caravelas,BR,-17.71,-39.25,79.16,76,0,7.2,clear sky
218,Komoro,JP,36.32,138.43,45.0,93,66,4.27,broken clouds
219,Acapulco,MX,16.86,-99.89,87.8,70,5,4.7,clear sky
220,Old Saybrook,US,41.29,-72.38,73.4,38,1,6.93,clear sky
221,Kolpashevo,RU,58.31,82.91,37.04,81,100,12.01,overcast clouds
222,Yerbogachen,RU,61.28,108.01,4.59,93,100,5.12,overcast clouds
223,Yangjiang,CN,21.85,111.97,69.87,69,0,8.9,light rain
224,Usinsk,RU,65.99,57.53,30.0,99,100,11.61,overcast clouds
225,Norman Wells,CA,65.28,-126.83,23.0,92,75,4.94,light snow
226,Wagga Wagga,AU,-35.12,147.37,51.8,76,0,10.29,clear sky
227,Constitucion,CL,-35.33,-72.42,66.02,53,0,16.04,clear sky
228,Ous,RU,60.91,61.52,30.11,98,47,4.56,scattered clouds
229,Puerto Cabezas,NI,14.04,-83.39,89.6,70,40,11.41,haze
230,Chaykovskaya,RU,58.13,55.54,74.08,100,75,8.95,broken clouds
231,Bonthe,SL,7.53,-12.51,80.02,84,100,5.37,overcast clouds
232,Siniscola,IT,40.57,9.69,57.2,87,0,1.12,clear sky
233,Armizonskoye,RU,55.95,67.67,37.83,96,100,7.65,light rain
234,Sambava,MG,-14.27,50.17,75.38,85,100,11.12,light rain
235,Kruisfontein,ZA,-34.0,24.73,63.0,76,0,1.01,clear sky
236,Ilulissat,GL,69.22,-51.1,8.6,71,20,5.82,few clouds
237,College,US,64.86,-147.8,25.0,85,90,3.36,overcast clouds
238,Tura,IN,25.52,90.22,64.99,88,0,4.54,clear sky
239,Paso De Los Toros,UY,-32.82,-56.52,82.4,39,75,13.87,broken clouds
240,Skibbereen,IE,51.55,-9.27,53.6,93,90,11.41,fog
241,North Myrtle Beach,US,33.82,-78.68,80.01,65,1,10.29,clear sky
242,Sompeta,IN,18.93,84.6,72.5,64,0,5.44,clear sky
243,Gbarnga,LR,7.0,-9.47,76.32,79,100,2.21,overcast clouds
244,Kirakira,SB,-10.45,161.92,80.47,80,65,5.48,light rain
245,Gizo,SB,-8.1,156.84,82.85,75,26,7.81,scattered clouds
246,Zheleznodorozhnyy,RU,55.75,38.0,71.08,75,0,8.95,clear sky
247,Mackay,AU,-21.15,149.2,77.0,83,90,18.34,light rain
248,Hobyo,SO,5.35,48.53,79.7,77,31,10.69,scattered clouds
249,Port Hardy,CA,50.7,-127.42,44.6,65,20,14.99,few clouds
250,Doha,QA,25.29,51.53,84.0,65,0,3.36,clear sky
251,Altay,CN,47.87,88.12,34.59,79,9,3.85,clear sky
252,Sokoni,TZ,-6.43,39.55,78.8,88,75,5.82,broken clouds
253,Chernyshkovskiy,RU,48.42,42.23,44.01,87,0,8.37,clear sky
254,Upernavik,GL,72.79,-56.15,-1.55,76,0,7.99,clear sky
255,Ahipara,NZ,-35.17,173.17,63.25,80,47,11.92,scattered clouds
