City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Hirara,JP,77.99,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
384,Viedma,AR,75.0,broken clouds,-40.81,-63.0,Hotel Cristal
385,Tual,ID,82.78,overcast clouds,-5.67,132.75,Grand Vilia Hotel
386,Bambanglipuro,ID,78.03,moderate rain,-7.95,110.28,Puri Brata
397,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
400,Axim,GH,78.71,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
402,San Patricio,US,82.4,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
405,Port Moresby,PG,77.0,scattered clouds,-9.44,147.18,Lamana Hotel
406,Siavonga,ZM,87.6,clear sky,-16.54,28.71,Lavongora Waterfront Lodge
407,Radcliff,US,75.2,clear sky,37.84,-85.95,Super 8 by Wyndham Radcliff Ft. Knox Area
410,Dawei,MM,75.25,scattered clouds,14.08,98.2,Hotel Dawei
418,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
419,Kupang,ID,79.12,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
420,Goundam,ML,85.53,clear sky,16.41,-3.67,
431,Majene,ID,77.77,broken clouds,-3.54,118.97,Kost Putri RABBANI
432,Palembang,ID,75.02,overcast clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
433,Howard Springs,AU,82.4,broken clouds,-12.5,131.05,buffalo beach hostel
436,Miami,US,81.0,scattered clouds,25.77,-80.19,Kimpton EPIC Hotel
442,Tupanatinga,BR,81.3,broken clouds,-8.75,-37.34,Pousada Central
445,Gweru,ZW,78.76,broken clouds,-19.45,29.82,Suskwe Lodges
446,Kismayo,SO,80.17,overcast clouds,-0.36,42.55,Agan-Hotel
452,Gamba,GA,76.68,broken clouds,-2.65,10.0,
456,Les Cayes,HT,80.87,overcast clouds,18.2,-73.75,Villa Orphee
461,Augusto Correa,BR,84.38,few clouds,-1.02,-46.63,Fazenda Bacuri
465,Mapimi,MX,75.2,clear sky,25.82,-103.85,Propiedad Lldm
472,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
473,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
478,Pekan,MY,77.0,light rain,3.48,103.4,Pekan Budget Hotel
479,Edeia,BR,87.85,broken clouds,-17.34,-49.93,Hotel Imperial Edeia
490,Inhambane,MZ,78.8,clear sky,-23.86,35.38,Oceano
491,Copperas Cove,US,77.0,clear sky,31.12,-97.9,Super 8 by Wyndham Copperas Cove
492,Olinda,BR,84.2,broken clouds,-8.01,-34.86,Hotel 5 Sóis
495,Mangrol,IN,79.5,clear sky,21.12,70.12,Hotel The Royal Honours
496,Carutapera,BR,84.97,clear sky,-1.2,-46.02,Lidera
498,Metro,ID,75.11,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
502,Puerto Escondido,MX,86.0,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
505,Acarau,BR,83.17,broken clouds,-2.89,-40.12,castelo pizzaria
507,Kidal,ML,77.05,clear sky,18.44,1.41,
510,Talara,PE,77.0,clear sky,-4.58,-81.27,Hostal Oro Negro
515,Atar,MR,88.63,overcast clouds,20.52,-13.05,Oumou Elghoura
521,El Alto,PE,77.0,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
524,Porto Belo,BR,78.01,clear sky,-27.16,-48.55,Costa Verde Beach Hotel
525,Rundu,,82.99,clear sky,-17.93,19.77,Millennia Estate
526,Luwuk,ID,77.58,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
528,Itarema,BR,82.49,broken clouds,-2.92,-39.92,Windvillage
532,Ohafia,NG,75.56,light rain,5.62,7.83,Ikenga Plaza Hotel
538,Inhambupe,BR,80.13,scattered clouds,-11.78,-38.35,Hotel JVS
539,Ambilobe,MG,75.27,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
540,Sao Filipe,CV,79.2,light rain,14.9,-24.5,Tortuga B&B
541,Thongwa,MM,75.2,light rain,16.76,96.53,Mhaw Wun Marlar Park
543,Robertsport,LR,80.91,few clouds,6.75,-11.37,Kwepunha Retreat
547,Cayenne,GF,77.0,very heavy rain,4.93,-52.33,Hôtel Le Dronmi
548,Moron,AR,80.01,clear sky,-34.65,-58.62,Hotel Morón
553,Taoudenni,ML,86.83,overcast clouds,22.68,-3.98,
555,Yaan,NG,79.18,overcast clouds,7.38,8.57,
556,Ndele,CF,77.0,clear sky,8.41,20.65,
558,Natal,BR,84.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
564,Anori,BR,88.41,overcast clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
569,Sinnamary,GF,82.92,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
570,Bunog,PH,79.2,overcast clouds,9.14,117.78,
574,Tayoltita,MX,84.58,clear sky,24.08,-105.93,Hotel Rivera Tayoltita
577,Bridgetown,BB,87.8,scattered clouds,13.1,-59.62,Hilton Barbados Resort
